release_year,year_added,month_added,duration_num,director_count,cast_count,country_count,content_age,is_multicountry,is_long_content,main_genre,rating,type
2016,2020,9,112.0,1,10,1,10,0,0,15,6,0
2016,2016,9,92.0,2,1,2,10,1,0,10,8,0
2002,2020,9,103.0,1,11,2,24,1,0,10,4,0
2017,2017,7,104.0,1,9,1,9,0,0,12,8,0
2015,2017,6,92.0,1,10,1,11,0,0,7,8,0
1977,2019,12,172.0,1,8,1,49,0,1,0,6,0
2011,2019,4,125.0,1,5,1,15,0,1,12,6,0
2018,2018,4,96.0,1,6,1,8,0,0,12,8,0
2018,2018,7,1.0,1,1,1,8,0,0,3,9,1
2017,2017,6,44.0,1,1,1,9,0,0,10,9,0
2014,2019,9,1.0,1,1,1,12,0,0,11,6,1
2013,2020,11,2.0,1,1,1,13,0,0,21,6,1
2016,2017,6,81.0,1,1,1,10,0,0,10,8,0
2017,2020,1,112.0,1,10,1,9,0,0,0,5,0
1999,2020,1,122.0,1,10,1,27,0,1,12,5,0
2017,2018,12,101.0,1,1,1,9,0,0,10,6,0
2017,2017,5,3.0,1,13,1,9,0,0,8,8,1
2016,2019,3,1.0,1,14,1,10,0,0,8,8,1
